amount,method,bank,device,failure_reason,previous_success_rate,previous_failures,customer_age_days,action,recovered
884,wallet,NONE,android,bank_timeout,0.7619872671896875,4,682,NO_ACTION,0
29692,wallet,NONE,android,insufficient_funds,0.6090739190887502,0,36,ALTERNATE_METHOD,0
6755,card,NONE,ios,insufficient_funds,0.9092937191605279,3,354,RETRY_NOW,0
33721,netbanking,NONE,android,network_error,0.6341157077660613,4,150,ALTERNATE_METHOD,1
42775,card,NONE,ios,authentication_failed,0.4881525131290103,3,613,DELAYED_RETRY,0
3151,wallet,NONE,android,authentication_failed,0.2682779719950144,4,992,DELAYED_RETRY,0
39834,wallet,NONE,android,network_error,0.6130402786409563,2,657,DELAYED_RETRY,1
38045,netbanking,NONE,ios,bank_timeout,0.34746693946509605,0,908,DELAYED_RETRY,1
16996,netbanking,NONE,ios,insufficient_funds,0.6393813317648964,0,488,NO_ACTION,0
13600,netbanking,NONE,web,bank_timeout,0.6893765969874819,2,76,ALTERNATE_METHOD,1
7353,upi,HDFC,ios,insufficient_funds,0.23680211361740222,0,94,NO_ACTION,0
29999,wallet,NONE,ios,network_error,0.5932927000934659,3,289,DELAYED_RETRY,0
38749,card,NONE,ios,bank_timeout,0.9093443098384382,3,223,RETRY_NOW,0
9923,upi,AXIS,android,bank_timeout,0.3303475416651438,1,497,NO_ACTION,0
951,wallet,NONE,ios,authentication_failed,0.7146305747538826,0,957,DELAYED_RETRY,0
40870,upi,HDFC,ios,authentication_failed,0.3566329078314372,4,12,RETRY_NOW,1
27222,card,NONE,web,authentication_failed,0.2569509187681832,4,922,ALTERNATE_METHOD,0
41676,netbanking,NONE,ios,bank_timeout,0.4786692835625579,2,413,RETRY_NOW,0
23648,upi,AXIS,ios,bank_timeout,0.8004918013126867,2,689,ALTERNATE_METHOD,1
5204,netbanking,NONE,web,network_error,0.6494933537150189,3,369,ALTERNATE_METHOD,0
3014,upi,SBI,android,bank_timeout,0.6042018979582857,0,342,RETRY_NOW,1
14023,wallet,NONE,android,bank_timeout,0.8777145152764718,0,455,NO_ACTION,0
32407,netbanking,NONE,ios,authentication_failed,0.2666275289562077,4,99,ALTERNATE_METHOD,0
22072,wallet,NONE,android,authentication_failed,0.8250368403769621,4,693,DELAYED_RETRY,1
37597,upi,ICICI,web,bank_timeout,0.480732010041663,1,751,RETRY_NOW,0
35407,upi,HDFC,ios,authentication_failed,0.5408731800375529,1,393,NO_ACTION,0
18024,upi,HDFC,ios,authentication_failed,0.6650443337814258,4,833,NO_ACTION,0
40362,upi,HDFC,ios,insufficient_funds,0.26680057335893503,4,876,ALTERNATE_METHOD,0
28278,netbanking,NONE,ios,authentication_failed,0.402945739098511,1,220,ALTERNATE_METHOD,0
13216,netbanking,NONE,android,authentication_failed,0.7968359034123387,4,348,NO_ACTION,0
28116,upi,AXIS,android,network_error,0.5490686652852448,1,556,NO_ACTION,0
37778,upi,AXIS,ios,bank_timeout,0.9943718368954404,4,676,ALTERNATE_METHOD,0
48629,netbanking,NONE,android,bank_timeout,0.7565989511876938,0,373,ALTERNATE_METHOD,1
41530,upi,ICICI,ios,insufficient_funds,0.24629111820616592,3,408,ALTERNATE_METHOD,0
46527,wallet,NONE,ios,insufficient_funds,0.48268178242084225,1,540,RETRY_NOW,0
20259,netbanking,NONE,ios,authentication_failed,0.6288770930752963,0,724,ALTERNATE_METHOD,1
27632,card,NONE,web,bank_timeout,0.9524254617083068,2,256,ALTERNATE_METHOD,0
109,wallet,NONE,ios,network_error,0.641270298035256,4,119,DELAYED_RETRY,0
35061,wallet,NONE,web,bank_timeout,0.5013911759503527,1,63,DELAYED_RETRY,0
21268,upi,HDFC,ios,bank_timeout,0.5318556018701321,0,405,RETRY_NOW,0
18484,upi,ICICI,android,network_error,0.9305326018061144,4,565,NO_ACTION,0
13556,upi,SBI,android,network_error,0.4011539516094388,4,717,RETRY_NOW,0
45643,wallet,NONE,ios,insufficient_funds,0.4149379856202459,1,250,DELAYED_RETRY,0
28638,card,NONE,android,network_error,0.9743790123518585,2,825,ALTERNATE_METHOD,1
15354,netbanking,NONE,android,bank_timeout,0.7114890855793938,2,435,NO_ACTION,0
39749,card,NONE,ios,network_error,0.7093154572978262,2,435,NO_ACTION,0
31803,netbanking,NONE,ios,authentication_failed,0.618881820812009,0,133,ALTERNATE_METHOD,0
19956,card,NONE,android,insufficient_funds,0.2529887822814927,4,546,ALTERNATE_METHOD,0
39137,netbanking,NONE,web,insufficient_funds,0.47325056836523605,0,663,RETRY_NOW,1
11737,wallet,NONE,android,authentication_failed,0.8994540838835337,2,93,NO_ACTION,0
11414,netbanking,NONE,android,bank_timeout,0.4760661022579094,1,829,RETRY_NOW,0
39244,wallet,NONE,ios,network_error,0.4914158888384604,1,813,DELAYED_RETRY,1
22674,upi,SBI,web,insufficient_funds,0.8988628992854217,4,337,RETRY_NOW,0
14278,upi,AXIS,web,authentication_failed,0.49637768223310563,1,28,DELAYED_RETRY,0
16848,card,NONE,ios,authentication_failed,0.4019495554752166,2,623,NO_ACTION,0
1631,upi,SBI,ios,network_error,0.6260938131640186,0,631,DELAYED_RETRY,1
30026,card,NONE,ios,network_error,0.295809705455401,0,525,ALTERNATE_METHOD,0
8358,upi,HDFC,ios,authentication_failed,0.6673595877713354,1,623,ALTERNATE_METHOD,1
6838,card,NONE,android,bank_timeout,0.4904658371189081,1,320,ALTERNATE_METHOD,1
17360,card,NONE,android,bank_timeout,0.3897814333887956,4,710,DELAYED_RETRY,0
11713,netbanking,NONE,ios,network_error,0.8446919093929148,0,759,RETRY_NOW,1
4424,wallet,NONE,web,network_error,0.5182844792365933,3,75,NO_ACTION,0
46785,wallet,NONE,ios,authentication_failed,0.856689178522682,1,847,DELAYED_RETRY,1
22800,wallet,NONE,android,network_error,0.9743952532033875,3,787,RETRY_NOW,0
39151,netbanking,NONE,android,network_error,0.8142236011542712,4,894,RETRY_NOW,0
47462,upi,SBI,ios,insufficient_funds,0.3075317415511794,1,172,RETRY_NOW,0
34487,upi,ICICI,android,bank_timeout,0.8081822879117493,2,911,DELAYED_RETRY,1
28353,netbanking,NONE,android,bank_timeout,0.8644955262301834,3,946,RETRY_NOW,0
5356,card,NONE,web,authentication_failed,0.9411595388717691,3,832,ALTERNATE_METHOD,0
30623,card,NONE,web,bank_timeout,0.34912398943051526,2,379,ALTERNATE_METHOD,0
17084,upi,SBI,android,network_error,0.8532795515772618,2,637,DELAYED_RETRY,1
18674,upi,HDFC,android,bank_timeout,0.5131856881612016,1,974,RETRY_NOW,1
11402,netbanking,NONE,ios,network_error,0.46625262872998746,2,968,ALTERNATE_METHOD,1
5888,upi,AXIS,ios,authentication_failed,0.658520679405911,4,550,ALTERNATE_METHOD,0
32254,netbanking,NONE,android,network_error,0.36363567453557066,1,522,DELAYED_RETRY,0
46297,card,NONE,android,authentication_failed,0.5030572524455326,4,216,ALTERNATE_METHOD,0
20203,upi,HDFC,web,insufficient_funds,0.7778020547144531,1,411,ALTERNATE_METHOD,0
33661,netbanking,NONE,web,bank_timeout,0.8614390622472627,1,872,ALTERNATE_METHOD,1
914,card,NONE,ios,authentication_failed,0.3226811224928642,4,616,DELAYED_RETRY,0
26315,wallet,NONE,web,insufficient_funds,0.2817701313801597,3,133,NO_ACTION,0
27732,wallet,NONE,web,network_error,0.25513723149377504,2,29,RETRY_NOW,0
47982,netbanking,NONE,android,network_error,0.388724827676065,1,622,RETRY_NOW,0
35940,netbanking,NONE,ios,authentication_failed,0.38191649670169014,4,431,RETRY_NOW,0
39324,upi,SBI,android,authentication_failed,0.5185349548727547,0,602,NO_ACTION,0
8766,card,NONE,web,bank_timeout,0.6696545793092539,2,876,NO_ACTION,1
45180,netbanking,NONE,ios,bank_timeout,0.93187672085448,0,285,ALTERNATE_METHOD,1
10495,card,NONE,android,bank_timeout,0.34242877349580114,3,361,RETRY_NOW,0
31295,netbanking,NONE,android,insufficient_funds,0.6017560082649941,0,736,RETRY_NOW,0
24542,wallet,NONE,web,network_error,0.36411171238560575,4,305,RETRY_NOW,0
28171,netbanking,NONE,ios,bank_timeout,0.8204220933560085,1,194,DELAYED_RETRY,1
11585,card,NONE,web,authentication_failed,0.2823851834650524,4,55,NO_ACTION,0
34349,netbanking,NONE,ios,network_error,0.5269873368784772,3,800,ALTERNATE_METHOD,0
45468,netbanking,NONE,web,insufficient_funds,0.3568904797547623,4,328,RETRY_NOW,0
6822,netbanking,NONE,android,insufficient_funds,0.3905462248373812,1,803,RETRY_NOW,0
48017,netbanking,NONE,android,network_error,0.3639874363326568,1,7,ALTERNATE_METHOD,0
20179,upi,ICICI,android,insufficient_funds,0.7631569081108076,0,815,ALTERNATE_METHOD,1
15458,card,NONE,web,authentication_failed,0.2273824886564233,3,261,DELAYED_RETRY,0
46060,card,NONE,android,insufficient_funds,0.37560842006476697,1,854,ALTERNATE_METHOD,1
48385,wallet,NONE,web,network_error,0.5768523621550515,0,882,RETRY_NOW,1
35467,card,NONE,android,bank_timeout,0.4063101483465619,2,494,NO_ACTION,0
11472,card,NONE,web,bank_timeout,0.2147125412379734,1,128,RETRY_NOW,0
31753,card,NONE,android,bank_timeout,0.7211363106814914,1,588,RETRY_NOW,1
40860,netbanking,NONE,ios,authentication_failed,0.6779304817362466,3,749,ALTERNATE_METHOD,1
11764,card,NONE,android,insufficient_funds,0.8167291016514164,1,822,ALTERNATE_METHOD,1
11655,netbanking,NONE,ios,bank_timeout,0.5114364912335813,2,512,NO_ACTION,0
31563,netbanking,NONE,ios,network_error,0.5173194984416434,4,312,RETRY_NOW,1
48375,netbanking,NONE,web,insufficient_funds,0.2411406507874003,2,365,RETRY_NOW,0
40485,upi,HDFC,android,insufficient_funds,0.7825510049628828,0,61,ALTERNATE_METHOD,1
13450,netbanking,NONE,web,network_error,0.8395327031751834,3,435,RETRY_NOW,0
26312,wallet,NONE,web,authentication_failed,0.9696790286112942,0,330,ALTERNATE_METHOD,1
20591,card,NONE,web,insufficient_funds,0.7111595082674096,0,727,ALTERNATE_METHOD,0
5419,upi,SBI,android,insufficient_funds,0.3769675534556818,1,489,NO_ACTION,1
37741,wallet,NONE,web,bank_timeout,0.3444602761018668,4,86,NO_ACTION,0
8920,netbanking,NONE,android,authentication_failed,0.9395169563012244,1,827,NO_ACTION,0
25610,netbanking,NONE,ios,authentication_failed,0.8631323793205419,0,526,ALTERNATE_METHOD,1
31007,upi,SBI,web,bank_timeout,0.6242121061079202,1,183,DELAYED_RETRY,1
28635,upi,AXIS,android,network_error,0.45500200234565596,1,161,NO_ACTION,0
15329,card,NONE,web,authentication_failed,0.8960790991207439,2,759,RETRY_NOW,1
14019,netbanking,NONE,web,authentication_failed,0.20758834690279848,4,958,RETRY_NOW,0
13084,wallet,NONE,web,bank_timeout,0.8146187310916146,0,359,DELAYED_RETRY,1
20244,netbanking,NONE,android,network_error,0.4376023011639058,1,324,ALTERNATE_METHOD,0
25380,upi,SBI,web,bank_timeout,0.2875740789432921,0,344,RETRY_NOW,0
1928,upi,HDFC,web,insufficient_funds,0.5340646206279427,2,62,ALTERNATE_METHOD,1
14999,wallet,NONE,web,insufficient_funds,0.9541854193081005,4,243,DELAYED_RETRY,1
17420,upi,SBI,web,insufficient_funds,0.4801002073333841,4,54,NO_ACTION,0
11462,wallet,NONE,ios,bank_timeout,0.33911619937558984,1,419,ALTERNATE_METHOD,0
47419,netbanking,NONE,web,network_error,0.6983499063480949,4,89,ALTERNATE_METHOD,0
44741,netbanking,NONE,android,insufficient_funds,0.4124800340709649,3,541,NO_ACTION,0
26031,card,NONE,android,authentication_failed,0.7241935845112175,4,395,RETRY_NOW,0
33842,card,NONE,web,bank_timeout,0.23902686533853848,1,454,NO_ACTION,1
41855,upi,HDFC,android,network_error,0.5961172216111794,4,115,NO_ACTION,0
30661,wallet,NONE,web,bank_timeout,0.4136226161355371,2,336,ALTERNATE_METHOD,0
18188,upi,ICICI,android,bank_timeout,0.944072280407791,3,191,ALTERNATE_METHOD,1
48974,upi,SBI,android,authentication_failed,0.9032571841825054,1,394,NO_ACTION,1
42634,netbanking,NONE,ios,insufficient_funds,0.6449453880318057,4,989,RETRY_NOW,0
30320,card,NONE,web,bank_timeout,0.6478754498470636,1,700,RETRY_NOW,0
1107,card,NONE,web,network_error,0.214742174990574,0,224,NO_ACTION,0
35250,card,NONE,android,bank_timeout,0.8310455854965955,3,864,ALTERNATE_METHOD,0
47395,upi,AXIS,ios,bank_timeout,0.6657363681410187,0,22,ALTERNATE_METHOD,1
2453,card,NONE,web,bank_timeout,0.5567666456082572,2,227,ALTERNATE_METHOD,1
44164,card,NONE,web,authentication_failed,0.8550285146856751,2,570,RETRY_NOW,1
13125,upi,AXIS,android,authentication_failed,0.5611096194637404,4,157,RETRY_NOW,0
46866,card,NONE,ios,authentication_failed,0.41860762159856746,0,382,RETRY_NOW,0
39314,wallet,NONE,android,authentication_failed,0.9716163778161668,2,953,DELAYED_RETRY,1
12957,wallet,NONE,ios,authentication_failed,0.7966696096247714,2,832,NO_ACTION,0
26485,netbanking,NONE,web,insufficient_funds,0.3273965906234116,0,657,RETRY_NOW,1
17534,card,NONE,ios,insufficient_funds,0.2142895139826555,4,960,RETRY_NOW,0
15351,card,NONE,web,bank_timeout,0.20098546813314072,0,894,ALTERNATE_METHOD,1
38665,wallet,NONE,android,insufficient_funds,0.2513671496601073,4,117,ALTERNATE_METHOD,0
29859,upi,HDFC,android,network_error,0.7443653010874602,1,366,NO_ACTION,0
6254,upi,HDFC,android,insufficient_funds,0.8238807911146799,2,214,ALTERNATE_METHOD,1
39599,upi,SBI,web,insufficient_funds,0.5858851052412732,3,660,DELAYED_RETRY,0
49253,upi,HDFC,android,bank_timeout,0.26600682755233707,4,116,DELAYED_RETRY,0
15625,netbanking,NONE,ios,network_error,0.7545551526581449,1,106,RETRY_NOW,1
6190,upi,ICICI,web,network_error,0.6758213099015489,0,359,ALTERNATE_METHOD,1
25391,wallet,NONE,ios,insufficient_funds,0.8413824664558336,2,383,RETRY_NOW,0
999,card,NONE,ios,network_error,0.5618546276146401,2,127,DELAYED_RETRY,0
46126,card,NONE,ios,insufficient_funds,0.39768258720811717,4,537,NO_ACTION,0
20122,card,NONE,android,insufficient_funds,0.8974662231784969,4,695,RETRY_NOW,1
10281,card,NONE,web,network_error,0.4658517002840872,0,59,ALTERNATE_METHOD,1
28806,upi,HDFC,ios,authentication_failed,0.3628626242737942,3,817,NO_ACTION,0
1056,wallet,NONE,android,insufficient_funds,0.7882802389326022,3,956,RETRY_NOW,0
4803,upi,AXIS,ios,bank_timeout,0.5164121358792122,3,578,ALTERNATE_METHOD,0
45450,card,NONE,web,authentication_failed,0.42708362288691604,4,268,DELAYED_RETRY,0
19442,upi,ICICI,ios,insufficient_funds,0.5242481464685947,1,940,DELAYED_RETRY,0
27016,upi,SBI,android,bank_timeout,0.39778485952254167,3,381,DELAYED_RETRY,0
47164,wallet,NONE,ios,authentication_failed,0.33081909806801824,2,857,NO_ACTION,0
43106,upi,AXIS,android,authentication_failed,0.5630316331069114,2,10,RETRY_NOW,1
5824,card,NONE,ios,bank_timeout,0.5447100189294447,3,776,ALTERNATE_METHOD,0
17059,card,NONE,android,authentication_failed,0.7891216120525124,4,204,DELAYED_RETRY,0
26255,wallet,NONE,web,authentication_failed,0.6465121996750903,2,957,RETRY_NOW,0
1068,netbanking,NONE,android,insufficient_funds,0.2413574697932216,0,119,RETRY_NOW,0
38046,upi,HDFC,android,authentication_failed,0.2332582872403137,1,276,NO_ACTION,0
49038,card,NONE,ios,bank_timeout,0.7112959502524003,0,39,DELAYED_RETRY,1
3349,netbanking,NONE,ios,insufficient_funds,0.3005932094453191,4,308,ALTERNATE_METHOD,0
4570,wallet,NONE,ios,bank_timeout,0.2751205726315347,4,352,RETRY_NOW,0
48420,netbanking,NONE,web,network_error,0.49943741371183414,1,978,ALTERNATE_METHOD,0
31563,upi,AXIS,web,insufficient_funds,0.8364082973571225,3,801,ALTERNATE_METHOD,0
46833,upi,AXIS,android,bank_timeout,0.2852744242463926,3,962,NO_ACTION,1
5804,upi,HDFC,android,insufficient_funds,0.801942210092458,4,589,RETRY_NOW,1
48608,card,NONE,ios,insufficient_funds,0.7340747084508679,1,594,NO_ACTION,0
17872,netbanking,NONE,android,insufficient_funds,0.43749541964822464,0,725,DELAYED_RETRY,1
37674,netbanking,NONE,android,authentication_failed,0.5108464810162766,0,417,RETRY_NOW,0
22543,card,NONE,ios,authentication_failed,0.6827588747051023,1,962,DELAYED_RETRY,1
28541,wallet,NONE,ios,network_error,0.931389212761176,4,154,RETRY_NOW,1
11656,netbanking,NONE,web,authentication_failed,0.8119066092337026,1,364,NO_ACTION,1
33274,netbanking,NONE,web,insufficient_funds,0.7179797713236824,3,399,RETRY_NOW,0
44914,wallet,NONE,android,bank_timeout,0.48129814979170754,1,334,DELAYED_RETRY,1
28311,card,NONE,web,bank_timeout,0.8424207182661307,2,648,DELAYED_RETRY,1
42741,card,NONE,android,bank_timeout,0.5308392812202812,0,350,RETRY_NOW,0
48813,netbanking,NONE,android,authentication_failed,0.7672370093779461,0,938,RETRY_NOW,0
42535,card,NONE,web,network_error,0.6401812337250095,4,362,RETRY_NOW,1
23769,upi,SBI,android,network_error,0.3696358719265813,1,984,DELAYED_RETRY,0
6395,wallet,NONE,android,network_error,0.40451599824741785,3,50,ALTERNATE_METHOD,0
32010,card,NONE,android,network_error,0.8133249081603249,1,993,DELAYED_RETRY,1
26260,netbanking,NONE,ios,bank_timeout,0.37339184007262055,0,662,RETRY_NOW,0
33855,netbanking,NONE,web,network_error,0.4055070781165719,4,509,RETRY_NOW,1
17827,netbanking,NONE,web,bank_timeout,0.7406729960699008,1,374,DELAYED_RETRY,0
44411,wallet,NONE,ios,authentication_failed,0.6825755281706978,1,288,RETRY_NOW,1
45899,upi,HDFC,web,bank_timeout,0.45869724969241665,2,70,DELAYED_RETRY,1
6804,wallet,NONE,ios,insufficient_funds,0.8402852062578894,2,160,DELAYED_RETRY,0
8358,card,NONE,android,network_error,0.46640153044655835,1,727,DELAYED_RETRY,1
9786,card,NONE,ios,insufficient_funds,0.27101391528621477,4,845,ALTERNATE_METHOD,0
29082,wallet,NONE,ios,network_error,0.5381512907169517,3,657,DELAYED_RETRY,0
10854,wallet,NONE,ios,bank_timeout,0.2958632016141171,2,104,RETRY_NOW,0
41423,upi,HDFC,ios,bank_timeout,0.274343315503512,1,456,ALTERNATE_METHOD,1
11123,wallet,NONE,ios,insufficient_funds,0.7669957581943811,3,481,RETRY_NOW,0
18892,upi,SBI,web,bank_timeout,0.643041792569901,2,835,DELAYED_RETRY,1
36135,card,NONE,web,network_error,0.9355135785715338,2,143,NO_ACTION,0
36975,netbanking,NONE,android,network_error,0.6317860950079544,4,803,ALTERNATE_METHOD,0
7729,card,NONE,web,insufficient_funds,0.3695859927217908,0,399,DELAYED_RETRY,1
20709,netbanking,NONE,ios,network_error,0.9804881606879319,1,537,ALTERNATE_METHOD,1
30084,wallet,NONE,web,network_error,0.3113584196940239,4,436,DELAYED_RETRY,0
5872,upi,SBI,android,network_error,0.6048860438774006,3,173,DELAYED_RETRY,0
11971,wallet,NONE,android,authentication_failed,0.6049134902721953,1,989,RETRY_NOW,0
18368,netbanking,NONE,ios,network_error,0.7201608739185228,2,287,RETRY_NOW,0
31597,upi,SBI,ios,authentication_failed,0.8034028354750904,0,983,RETRY_NOW,1
5548,wallet,NONE,ios,network_error,0.2808366488085174,3,609,DELAYED_RETRY,0
23412,upi,ICICI,android,insufficient_funds,0.724578938049325,1,63,ALTERNATE_METHOD,0
33635,upi,ICICI,web,authentication_failed,0.5313038020231416,4,598,NO_ACTION,0
24382,upi,SBI,ios,authentication_failed,0.6657185838239779,1,888,DELAYED_RETRY,1
22840,card,NONE,ios,bank_timeout,0.980699003928043,1,997,NO_ACTION,1
44102,upi,AXIS,web,authentication_failed,0.5994670679828946,4,794,RETRY_NOW,0
37587,wallet,NONE,ios,insufficient_funds,0.848548742389013,4,436,NO_ACTION,0
43504,upi,HDFC,android,insufficient_funds,0.4523255165984102,0,130,DELAYED_RETRY,1
23661,card,NONE,ios,insufficient_funds,0.9214095937083389,4,284,ALTERNATE_METHOD,0
28702,card,NONE,android,authentication_failed,0.9115127329030754,4,467,RETRY_NOW,0
22714,upi,AXIS,android,insufficient_funds,0.2678336128366426,2,385,RETRY_NOW,1
35579,upi,HDFC,android,insufficient_funds,0.48260112680165135,3,651,NO_ACTION,0
28238,card,NONE,android,bank_timeout,0.7282421757610706,1,550,RETRY_NOW,1
23988,netbanking,NONE,android,bank_timeout,0.5055517117223167,1,963,RETRY_NOW,0
26289,upi,HDFC,android,network_error,0.582604235660739,1,778,ALTERNATE_METHOD,1
22091,card,NONE,ios,bank_timeout,0.6659381265657972,3,226,RETRY_NOW,1
24053,netbanking,NONE,android,bank_timeout,0.5007943119530491,3,985,RETRY_NOW,1
14391,upi,AXIS,web,network_error,0.21017191198951482,4,995,ALTERNATE_METHOD,1
49290,upi,AXIS,android,authentication_failed,0.4017928161386893,4,661,NO_ACTION,0
17130,netbanking,NONE,web,insufficient_funds,0.6360215351175507,2,345,NO_ACTION,0
20021,card,NONE,android,bank_timeout,0.7807839279882365,2,562,RETRY_NOW,1
20667,wallet,NONE,android,network_error,0.6337897643934787,4,353,DELAYED_RETRY,1
18550,netbanking,NONE,android,network_error,0.8986583326886461,0,128,DELAYED_RETRY,1
36595,wallet,NONE,android,insufficient_funds,0.7811693720904038,0,900,RETRY_NOW,1
29645,card,NONE,web,bank_timeout,0.644067959441829,2,923,ALTERNATE_METHOD,1
19463,card,NONE,ios,network_error,0.871971184225746,3,209,RETRY_NOW,0
40472,upi,AXIS,web,insufficient_funds,0.31911044026595575,2,101,RETRY_NOW,0
38119,wallet,NONE,ios,insufficient_funds,0.37376727815296845,1,805,ALTERNATE_METHOD,1
14637,card,NONE,ios,insufficient_funds,0.3450554239404042,4,20,DELAYED_RETRY,0
36160,card,NONE,web,insufficient_funds,0.28330988633623,1,55,ALTERNATE_METHOD,1
43643,card,NONE,ios,network_error,0.6817165152419848,3,60,DELAYED_RETRY,0
12793,wallet,NONE,android,insufficient_funds,0.8279175816891742,4,927,NO_ACTION,0
16144,wallet,NONE,ios,authentication_failed,0.78840448519003,0,146,DELAYED_RETRY,1
25151,netbanking,NONE,web,authentication_failed,0.78689266403385,4,161,DELAYED_RETRY,0
30547,netbanking,NONE,web,authentication_failed,0.5279239117570307,3,75,ALTERNATE_METHOD,0
41896,upi,AXIS,android,network_error,0.4676090309935457,4,619,RETRY_NOW,0
35625,upi,ICICI,android,authentication_failed,0.9525433960922725,1,547,DELAYED_RETRY,0
8099,upi,AXIS,android,bank_timeout,0.5665495093903141,4,356,RETRY_NOW,1
15178,netbanking,NONE,ios,authentication_failed,0.5494805620921437,0,612,ALTERNATE_METHOD,1
47007,wallet,NONE,android,authentication_failed,0.9380984464702318,0,548,RETRY_NOW,1
37581,card,NONE,ios,insufficient_funds,0.42057588247644184,3,270,RETRY_NOW,0
34882,card,NONE,android,bank_timeout,0.4145112160764107,0,813,NO_ACTION,1
40885,card,NONE,web,bank_timeout,0.47673635800135544,1,929,ALTERNATE_METHOD,1
14389,wallet,NONE,web,insufficient_funds,0.30239056682686916,4,426,NO_ACTION,0
22769,upi,HDFC,ios,bank_timeout,0.4052240499553983,2,599,RETRY_NOW,0
18422,netbanking,NONE,android,bank_timeout,0.6868218181571732,0,445,RETRY_NOW,1
24359,netbanking,NONE,ios,bank_timeout,0.8804928462729102,0,593,NO_ACTION,1
6271,card,NONE,web,bank_timeout,0.8333599907626814,0,529,ALTERNATE_METHOD,1
43717,upi,SBI,android,bank_timeout,0.9565585176002258,0,66,RETRY_NOW,0
12822,upi,ICICI,ios,insufficient_funds,0.2498184847055085,3,571,DELAYED_RETRY,1
34722,upi,AXIS,web,bank_timeout,0.3317650827458367,3,878,ALTERNATE_METHOD,1
11083,upi,ICICI,ios,insufficient_funds,0.8964627400368055,2,381,DELAYED_RETRY,0
40061,upi,ICICI,ios,bank_timeout,0.2753215281005583,2,968,RETRY_NOW,0
18758,card,NONE,web,insufficient_funds,0.5613574553853462,2,178,RETRY_NOW,0
29550,wallet,NONE,ios,insufficient_funds,0.4297103664676605,3,297,ALTERNATE_METHOD,0
